danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor_gene_id	takrub_gene_id
ENSDARG00000008575	ENSDART00000099439	28	ENSAMXG00000003679	ENSDARG00000008575	ENSGMOG00000018634	ENSGACG00000004223	ENSONIG00000010109	ENSORLG00000012597	ENSPFOG00000019387	ENSTRUG00000013388	
ENSDARG00000008849	ENSDART00000136951	14	ENSAMXG00000003740	ENSDARG00000008849	ENSGMOG00000014755	ENSGACG00000013064	ENSONIG00000015067		ENSPFOG00000019026	ENSTRUG00000015191	
ENSDARG00000009170	ENSDART00000021317	6	ENSAMXG00000010162	ENSDARG00000009170	ENSGMOG00000002041	ENSGACG00000015700	ENSONIG00000006019	ENSORLG00000007260	ENSPFOG00000011619	ENSTRUG00000017448	
ENSDARG00000009953	ENSDART00000011304	12	ENSAMXG00000002581	ENSDARG00000009953	ENSGMOG00000012910	ENSGACG00000002015	ENSONIG00000006848	ENSORLG00000010808	ENSPFOG00000013987	ENSTRUG00000013609	
ENSDARG00000010331	ENSDART00000080774	5	ENSAMXG00000006937	ENSDARG00000010331	ENSGMOG00000014114	ENSGACG00000020337	ENSONIG00000004474	ENSORLG00000009451	ENSPFOG00000019420	ENSTRUG00000013243	
ENSDARG00000011602	ENSDART00000145910	5	ENSAMXG00000005490	ENSDARG00000011602	ENSGMOG00000018979	ENSGACG00000014329	ENSONIG00000002929	ENSORLG00000001937	ENSPFOG00000017030	ENSTRUG00000015704	
ENSDARG00000011764	ENSDART00000017572	5	ENSAMXG00000003664	ENSDARG00000011764	ENSGMOG00000003039	ENSGACG00000018815	ENSONIG00000011765	ENSORLG00000013384	ENSPFOG00000016332	ENSTRUG00000016606	
ENSDARG00000012368	ENSDART00000044270	9	ENSAMXG00000010419	ENSDARG00000012368	ENSGMOG00000014529	ENSGACG00000005428	ENSONIG00000008858	ENSORLG00000016992	ENSPFOG00000016804	ENSTRUG00000000464	
ENSDARG00000012403	ENSDART00000125173	6	ENSAMXG00000014920	ENSDARG00000012403	ENSGMOG00000007751	ENSGACG00000006992	ENSONIG00000015139	ENSORLG00000004287	ENSPFOG00000019333	ENSTRUG00000014634	
ENSDARG00000012827	ENSDART00000019699	5	ENSAMXG00000012824	ENSDARG00000012827	ENSGMOG00000013509	ENSGACG00000019244	ENSONIG00000009328	ENSORLG00000007194	ENSPFOG00000012920	ENSTRUG00000015365	
ENSDARG00000013058	ENSDART00000048859	5	ENSAMXG00000016326	ENSDARG00000013058	ENSGMOG00000006224	ENSGACG00000014350	ENSONIG00000014089	ENSORLG00000019896	ENSPFOG00000006820	ENSTRUG00000015035	
ENSDARG00000013079	ENSDART00000020192	9	ENSAMXG00000008945	ENSDARG00000013079	ENSGMOG00000003024	ENSGACG00000004173	ENSONIG00000018159	ENSORLG00000012648	ENSPFOG00000018440	ENSTRUG00000010073	
ENSDARG00000013150	ENSDART00000006288	7	ENSAMXG00000005181	ENSDARG00000013150	ENSGMOG00000009282	ENSGACG00000001768	ENSONIG00000002234	ENSORLG00000015982	ENSPFOG00000002575	ENSTRUG00000004927	
ENSDARG00000013240	ENSDART00000021969	6	ENSAMXG00000002268	ENSDARG00000013240	ENSGMOG00000001156	ENSGACG00000001495	ENSONIG00000004257	ENSORLG00000019946	ENSPFOG00000018133	ENSTRUG00000015224	
ENSDARG00000013453	ENSDART00000019202	5	ENSAMXG00000021360	ENSDARG00000013453	ENSGMOG00000010725	ENSGACG00000008322	ENSONIG00000020126	ENSORLG00000015842	ENSPFOG00000002400	ENSTRUG00000009586	
ENSDARG00000013649	ENSDART00000010934	5	ENSAMXG00000012663	ENSDARG00000013649	ENSGMOG00000002672	ENSGACG00000020687	ENSONIG00000005168	ENSORLG00000006682	ENSPFOG00000019334	ENSTRUG00000016870	
ENSDARG00000013880	ENSDART00000066288	7	ENSAMXG00000009466	ENSDARG00000013880	ENSGMOG00000004610	ENSGACG00000005342	ENSONIG00000019654	ENSORLG00000019709	ENSPFOG00000022764	ENSTRUG00000017186	
ENSDARG00000016177	ENSDART00000002728	6	ENSAMXG00000002271	ENSDARG00000016177	ENSGMOG00000001090	ENSGACG00000001486	ENSONIG00000004251	ENSORLG00000019961	ENSPFOG00000018072	ENSTRUG00000015303	
ENSDARG00000016415	ENSDART00000003252	7	ENSAMXG00000017957	ENSDARG00000016415	ENSGMOG00000010176	ENSGACG00000004439	ENSONIG00000008620	ENSORLG00000003925	ENSPFOG00000012901	ENSTRUG00000016922	
ENSDARG00000016443	ENSDART00000016791	8	ENSAMXG00000020949	ENSDARG00000016443	ENSGMOG00000016885	ENSGACG00000007652	ENSONIG00000011434	ENSORLG00000006318	ENSPFOG00000004476	ENSTRUG00000008951	
ENSDARG00000016573	ENSDART00000018091	5	ENSAMXG00000018592	ENSDARG00000016573	ENSGMOG00000013883		ENSONIG00000007248	ENSORLG00000005983	ENSPFOG00000018743	ENSTRUG00000001349	
ENSDARG00000016721	ENSDART00000015559	5	ENSAMXG00000013857	ENSDARG00000016721	ENSGMOG00000009590	ENSGACG00000005763	ENSONIG00000007272	ENSORLG00000006164	ENSPFOG00000018930	ENSTRUG00000017567	
ENSDARG00000016753	ENSDART00000011534	6	ENSAMXG00000024731	ENSDARG00000016753	ENSGMOG00000007883	ENSGACG00000006233	ENSONIG00000011495	ENSORLG00000005758	ENSPFOG00000004346	ENSTRUG00000012941	
ENSDARG00000016775	ENSDART00000013418	9	ENSAMXG00000014751	ENSDARG00000016775	ENSGMOG00000009823	ENSGACG00000010437	ENSONIG00000001395	ENSORLG00000013184	ENSPFOG00000015147	ENSTRUG00000014255	
ENSDARG00000016782	ENSDART00000006657	39	ENSAMXG00000013105	ENSDARG00000016782	ENSGMOG00000008327	ENSGACG00000008789	ENSONIG00000012021	ENSORLG00000007276	ENSPFOG00000010355	ENSTRUG00000014610	
ENSDARG00000016936	ENSDART00000020389	22	ENSAMXG00000017072	ENSDARG00000016936	ENSGMOG00000010733	ENSGACG00000007309	ENSONIG00000009997	ENSORLG00000009600	ENSPFOG00000011299	ENSTRUG00000005508	
ENSDARG00000016968	ENSDART00000128743	5	ENSAMXG00000001600	ENSDARG00000016968	ENSGMOG00000018357	ENSGACG00000006995	ENSONIG00000005531	ENSORLG00000017680	ENSPFOG00000014631	ENSTRUG00000005528	
ENSDARG00000017034	ENSDART00000146451	6	ENSAMXG00000000587	ENSDARG00000017034	ENSGMOG00000012678	ENSGACG00000006260	ENSONIG00000008398	ENSORLG00000005056	ENSPFOG00000003709	ENSTRUG00000010592	
ENSDARG00000017180	ENSDART00000103596	6	ENSAMXG00000012420	ENSDARG00000017180	ENSGMOG00000011338	ENSGACG00000017295	ENSONIG00000009389	ENSORLG00000017682	ENSPFOG00000009741	ENSTRUG00000012253	
ENSDARG00000017522	ENSDART00000111517	5	ENSAMXG00000013841	ENSDARG00000017522	ENSGMOG00000000742	ENSGACG00000008676	ENSONIG00000007685	ENSORLG00000013577	ENSPFOG00000012661	ENSTRUG00000012998	
ENSDARG00000017675	ENSDART00000010821	5	ENSAMXG00000019690	ENSDARG00000017675	ENSGMOG00000014309	ENSGACG00000014034	ENSONIG00000004191	ENSORLG00000014893	ENSPFOG00000001510	ENSTRUG00000017336	
ENSDARG00000017696	ENSDART00000026726	6	ENSAMXG00000021243	ENSDARG00000017696	ENSGMOG00000017588	ENSGACG00000012761	ENSONIG00000019525	ENSORLG00000019107	ENSPFOG00000012932	ENSTRUG00000011153	
ENSDARG00000017886	ENSDART00000008841	5	ENSAMXG00000011813	ENSDARG00000017886	ENSGMOG00000003866	ENSGACG00000013636	ENSONIG00000019328	ENSORLG00000015676	ENSPFOG00000000687	ENSTRUG00000004329	
ENSDARG00000018162	ENSDART00000016057	7	ENSAMXG00000003430	ENSDARG00000018162	ENSGMOG00000016992	ENSGACG00000005928	ENSONIG00000002117	ENSORLG00000003458	ENSPFOG00000004435	ENSTRUG00000010980	
ENSDARG00000018296	ENSDART00000059652	6	ENSAMXG00000005365	ENSDARG00000018296	ENSGMOG00000012562	ENSGACG00000002904	ENSONIG00000014152	ENSORLG00000012211	ENSPFOG00000015784	ENSTRUG00000014309	
ENSDARG00000019000	ENSDART00000019786	12	ENSAMXG00000004461	ENSDARG00000019000	ENSGMOG00000014733	ENSGACG00000018708	ENSONIG00000016298	ENSORLG00000015257	ENSPFOG00000004084	ENSTRUG00000006942	
ENSDARG00000019038	ENSDART00000020342	6	ENSAMXG00000014779	ENSDARG00000019038	ENSGMOG00000008456	ENSGACG00000012637	ENSONIG00000002075	ENSORLG00000010788	ENSPFOG00000011117	ENSTRUG00000006937	
ENSDARG00000019300	ENSDART00000020703	5	ENSAMXG00000024534	ENSDARG00000019300	ENSGMOG00000000248	ENSGACG00000009942	ENSONIG00000006035	ENSORLG00000012191	ENSPFOG00000019082	ENSTRUG00000017976	
ENSDARG00000019501	ENSDART00000133441	5	ENSAMXG00000020129	ENSDARG00000019501	ENSGMOG00000019179	ENSGACG00000020650	ENSONIG00000004962	ENSORLG00000005917	ENSPFOG00000018811	ENSTRUG00000017037	
ENSDARG00000019834	ENSDART00000105322	9	ENSAMXG00000008107	ENSDARG00000019834	ENSGMOG00000004831	ENSGACG00000009631	ENSONIG00000000507	ENSORLG00000005690	ENSPFOG00000017678	ENSTRUG00000001948	
ENSDARG00000019962	ENSDART00000010778	9	ENSAMXG00000008795	ENSDARG00000019962	ENSGMOG00000006241	ENSGACG00000005136	ENSONIG00000000072	ENSORLG00000002001	ENSPFOG00000019293	ENSTRUG00000000723	
ENSDARG00000020771	ENSDART00000015827	6	ENSAMXG00000002151	ENSDARG00000020771	ENSGMOG00000015684	ENSGACG00000013743	ENSONIG00000009896	ENSORLG00000016268	ENSPFOG00000006777	ENSTRUG00000003799	
ENSDARG00000020785	ENSDART00000002661	9	ENSAMXG00000014261	ENSDARG00000020785	ENSGMOG00000002243	ENSGACG00000006339	ENSONIG00000011356	ENSORLG00000017997	ENSPFOG00000001423	ENSTRUG00000005418	
ENSDARG00000021239	ENSDART00000019165	6	ENSAMXG00000015838	ENSDARG00000021239	ENSGMOG00000002190	ENSGACG00000019839	ENSONIG00000011426	ENSORLG00000015449	ENSPFOG00000007334	ENSTRUG00000013192	
ENSDARG00000021402	ENSDART00000008053	10	ENSAMXG00000006100	ENSDARG00000021402	ENSGMOG00000012627	ENSGACG00000002570	ENSONIG00000016836	ENSORLG00000014980	ENSPFOG00000012860	ENSTRUG00000005210	
ENSDARG00000021945	ENSDART00000019620	5	ENSAMXG00000017597	ENSDARG00000021945		ENSGACG00000003024	ENSONIG00000017048	ENSORLG00000012330	ENSPFOG00000012159	ENSTRUG00000000455	
ENSDARG00000022203	ENSDART00000074200	7	ENSAMXG00000007482	ENSDARG00000022203	ENSGMOG00000013638	ENSGACG00000020844	ENSONIG00000013267	ENSORLG00000015316	ENSPFOG00000001233	ENSTRUG00000010068	
ENSDARG00000022410	ENSDART00000034829	5	ENSAMXG00000012852	ENSDARG00000022410	ENSGMOG00000004188	ENSGACG00000007175	ENSONIG00000009528	ENSORLG00000008688	ENSPFOG00000014975	ENSTRUG00000012017	
ENSDARG00000022730	ENSDART00000036350	6	ENSAMXG00000005470	ENSDARG00000022730	ENSGMOG00000018953	ENSGACG00000014331	ENSONIG00000002923	ENSORLG00000001947	ENSPFOG00000016997	ENSTRUG00000015712	
ENSDARG00000023104	ENSDART00000103324	8	ENSAMXG00000000557	ENSDARG00000023104	ENSGMOG00000006763	ENSGACG00000010509	ENSONIG00000015249	ENSORLG00000007912	ENSPFOG00000003057	ENSTRUG00000008486	
ENSDARG00000024829	ENSDART00000029006	6	ENSAMXG00000002137	ENSDARG00000024829	ENSGMOG00000015513	ENSGACG00000013750	ENSONIG00000009909	ENSORLG00000016248	ENSPFOG00000006449	ENSTRUG00000002590	
ENSDARG00000025011	ENSDART00000042829	10	ENSAMXG00000008208	ENSDARG00000025011	ENSGMOG00000014852	ENSGACG00000020575	ENSONIG00000004667	ENSORLG00000004320	ENSPFOG00000016886	ENSTRUG00000006907	
ENSDARG00000025094	ENSDART00000003298	5	ENSAMXG00000017128	ENSDARG00000025094	ENSGMOG00000016576	ENSGACG00000012289	ENSONIG00000004058	ENSORLG00000019016	ENSPFOG00000000003	ENSTRUG00000011306	
ENSDARG00000025269	ENSDART00000028592	5	ENSAMXG00000020580	ENSDARG00000025269	ENSGMOG00000010373	ENSGACG00000005555	ENSONIG00000002317	ENSORLG00000011651	ENSPFOG00000008147	ENSTRUG00000013431	
ENSDARG00000025507	ENSDART00000008047	6	ENSAMXG00000007215	ENSDARG00000025507	ENSGMOG00000016843	ENSGACG00000009003	ENSONIG00000019984	ENSORLG00000007670	ENSPFOG00000015521	ENSTRUG00000015505	
ENSDARG00000025703	ENSDART00000007672	8	ENSAMXG00000016019	ENSDARG00000025703	ENSGMOG00000008408	ENSGACG00000015777	ENSONIG00000007381	ENSORLG00000002405	ENSPFOG00000007360	ENSTRUG00000003979	
ENSDARG00000026053	ENSDART00000132050	5	ENSAMXG00000006359	ENSDARG00000026053	ENSGMOG00000012840	ENSGACG00000010755	ENSONIG00000000740	ENSORLG00000012329	ENSPFOG00000013939	ENSTRUG00000014279	
ENSDARG00000026180	ENSDART00000026434	23	ENSAMXG00000020291	ENSDARG00000026180	ENSGMOG00000002028	ENSGACG00000008504	ENSONIG00000008153	ENSORLG00000008036	ENSPFOG00000007005	ENSTRUG00000015906	
ENSDARG00000026224	ENSDART00000020998	6	ENSAMXG00000017352	ENSDARG00000026224	ENSGMOG00000008107	ENSGACG00000011591	ENSONIG00000014637	ENSORLG00000011648	ENSPFOG00000014934	ENSTRUG00000000347	
ENSDARG00000027016	ENSDART00000046792	13	ENSAMXG00000002009	ENSDARG00000027016	ENSGMOG00000007931	ENSGACG00000014607	ENSONIG00000009136	ENSORLG00000001139	ENSPFOG00000000359	ENSTRUG00000003575	
ENSDARG00000027353	ENSDART00000133469	7	ENSAMXG00000005469	ENSDARG00000027353	ENSGMOG00000015727	ENSGACG00000001363	ENSONIG00000015731	ENSORLG00000012930	ENSPFOG00000006133	ENSTRUG00000015685	
ENSDARG00000027689	ENSDART00000055859	5	ENSAMXG00000000544	ENSDARG00000027689	ENSGMOG00000014471	ENSGACG00000012911	ENSONIG00000019377	ENSORLG00000011359	ENSPFOG00000007750	ENSTRUG00000006759	
ENSDARG00000027777	ENSDART00000033528	5	ENSAMXG00000014966	ENSDARG00000027777	ENSGMOG00000018755	ENSGACG00000010558	ENSONIG00000000871	ENSORLG00000004784	ENSPFOG00000012492	ENSTRUG00000010869	
ENSDARG00000028507	ENSDART00000029308	10	ENSAMXG00000014285	ENSDARG00000028507	ENSGMOG00000005371	ENSGACG00000005054	ENSONIG00000019600	ENSORLG00000020765	ENSPFOG00000018521	ENSTRUG00000005807	
ENSDARG00000028533	ENSDART00000054274	31	ENSAMXG00000002936	ENSDARG00000028533	ENSGMOG00000000559	ENSGACG00000001993	ENSONIG00000004989	ENSORLG00000007324	ENSPFOG00000000306	ENSTRUG00000005469	
ENSDARG00000029157	ENSDART00000135760	11	ENSAMXG00000010598	ENSDARG00000029157	ENSGMOG00000006473	ENSGACG00000013187	ENSONIG00000000683	ENSORLG00000017103	ENSPFOG00000010598	ENSTRUG00000014457	
ENSDARG00000029472	ENSDART00000126343	6	ENSAMXG00000017862	ENSDARG00000029472		ENSGACG00000006700	ENSONIG00000015733		ENSPFOG00000003611	ENSTRUG00000005828	
ENSDARG00000029482	ENSDART00000086201	37	ENSAMXG00000013364	ENSDARG00000029482	ENSGMOG00000003131	ENSGACG00000016262	ENSONIG00000017156	ENSORLG00000011493	ENSPFOG00000015537	ENSTRUG00000001783	
ENSDARG00000029556	ENSDART00000060633	6	ENSAMXG00000003175	ENSDARG00000029556	ENSGMOG00000005793	ENSGACG00000010919	ENSONIG00000011688	ENSORLG00000011216	ENSPFOG00000011497	ENSTRUG00000001911	
ENSDARG00000030153	ENSDART00000040445	9	ENSAMXG00000007331	ENSDARG00000030153	ENSGMOG00000003643	ENSGACG00000019866	ENSONIG00000000050	ENSORLG00000015673	ENSPFOG00000010807	ENSTRUG00000012120	
ENSDARG00000030417	ENSDART00000039911	11	ENSAMXG00000010725	ENSDARG00000030417	ENSGMOG00000010560	ENSGACG00000018946	ENSONIG00000017694	ENSORLG00000019755		ENSTRUG00000008067	
ENSDARG00000030560	ENSDART00000042674	11	ENSAMXG00000020742	ENSDARG00000030560	ENSGMOG00000009758	ENSGACG00000018530	ENSONIG00000006486	ENSORLG00000013894	ENSPFOG00000013386	ENSTRUG00000000488	
ENSDARG00000030945	ENSDART00000156352	15	ENSAMXG00000004053	ENSDARG00000030945	ENSGMOG00000010562	ENSGACG00000011002	ENSONIG00000013154	ENSORLG00000004656	ENSPFOG00000009779	ENSTRUG00000001972	
ENSDARG00000032630	ENSDART00000101711	29	ENSAMXG00000010954	ENSDARG00000032630		ENSGACG00000000792	ENSONIG00000017020	ENSORLG00000009639	ENSPFOG00000017174	ENSTRUG00000014660	
ENSDARG00000032704	ENSDART00000045615	5	ENSAMXG00000018896	ENSDARG00000032704	ENSGMOG00000016395	ENSGACG00000013299	ENSONIG00000011726	ENSORLG00000017825	ENSPFOG00000006595	ENSTRUG00000004015	
ENSDARG00000033099	ENSDART00000041577	9	ENSAMXG00000021552	ENSDARG00000033099	ENSGMOG00000009645	ENSGACG00000015929	ENSONIG00000005673	ENSORLG00000009302	ENSPFOG00000017895	ENSTRUG00000018115	
ENSDARG00000033418	ENSDART00000009386	7	ENSAMXG00000020177	ENSDARG00000033418	ENSGMOG00000003830	ENSGACG00000017544	ENSONIG00000003302	ENSORLG00000018706		ENSTRUG00000005785	
ENSDARG00000034001	ENSDART00000042496	5	ENSAMXG00000003736	ENSDARG00000034001	ENSGMOG00000014362	ENSGACG00000014081	ENSONIG00000004199	ENSORLG00000014833	ENSPFOG00000001019	ENSTRUG00000000869	
ENSDARG00000034178	ENSDART00000024861	5	ENSAMXG00000008485	ENSDARG00000034178	ENSGMOG00000000796	ENSGACG00000008703	ENSONIG00000007676	ENSORLG00000013544	ENSPFOG00000012870	ENSTRUG00000013134	
ENSDARG00000035285	ENSDART00000097574	8	ENSAMXG00000019642	ENSDARG00000035285	ENSGMOG00000010680	ENSGACG00000020260	ENSONIG00000012828	ENSORLG00000011992	ENSPFOG00000018684	ENSTRUG00000000700	
ENSDARG00000035330	ENSDART00000051196	13	ENSAMXG00000007593	ENSDARG00000035330	ENSGMOG00000016233	ENSGACG00000020377	ENSONIG00000004304	ENSORLG00000008417	ENSPFOG00000002932	ENSTRUG00000015603	
ENSDARG00000035978	ENSDART00000125313	8	ENSAMXG00000019163	ENSDARG00000035978	ENSGMOG00000005168	ENSGACG00000003936	ENSONIG00000005968	ENSORLG00000010581	ENSPFOG00000015824	ENSTRUG00000009905	
ENSDARG00000036338	ENSDART00000052787	10	ENSAMXG00000004412	ENSDARG00000036338	ENSGMOG00000015886	ENSGACG00000020112	ENSONIG00000004772	ENSORLG00000018645	ENSPFOG00000014803	ENSTRUG00000003295	
ENSDARG00000036481	ENSDART00000053001	5	ENSAMXG00000009626	ENSDARG00000036481	ENSGMOG00000012233	ENSGACG00000008530	ENSONIG00000013356	ENSORLG00000006588	ENSPFOG00000008793	ENSTRUG00000012642	
ENSDARG00000036755	ENSDART00000053369	6	ENSAMXG00000019547	ENSDARG00000036755	ENSGMOG00000001957	ENSGACG00000017206	ENSONIG00000010014	ENSORLG00000007452	ENSPFOG00000009121	ENSTRUG00000014623	
ENSDARG00000036999	ENSDART00000053768	10	ENSAMXG00000003222	ENSDARG00000036999	ENSGMOG00000005702	ENSGACG00000010886	ENSONIG00000011711	ENSORLG00000011151	ENSPFOG00000010718	ENSTRUG00000003873	
